time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1676232101.597431	5.008	0.5	0.0	0.0	0.0	0.0	1.0	1.0	0.0	38.0	45.0	56.0	38.0	
1676232101.797722	5.118	0.053	0.0	0.0	0.0	0.05	0.0	1.0	0.0	38.0	43.0	56.0	38.0	
1676232101.9980261	5.118	0.053	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
1676232102.1983163	5.118	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.105	38.0	44.0	56.0	38.0	
1676232102.3986108	5.118	0.095	0.0	0.0	0.048	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
1676232102.598905	5.118	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
1676232102.799201	5.115	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
1676232102.9994934	5.115	0.1	0.0	0.0	0.0	0.0	0.048	1.0	0.0	38.0	44.0	56.0	38.0	
1676232103.1997762	5.115	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
1676232103.4000673	5.115	0.095	0.0	0.0	0.0	0.0	0.05	1.0	0.0	38.0	44.0	56.0	38.0	
1676232103.6003537	5.027	0.0	0.0	0.0	0.091	0.05	0.05	1.0	0.105	38.0	44.0	56.0	40.0	
1676232103.8006566	5.027	0.095	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
1676232104.0009513	5.027	0.0	0.0	0.0	0.0	0.0	0.05	1.0	0.0	38.0	44.0	56.0	38.0	
1676232104.2012458	5.027	0.053	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
1676232104.4015396	5.027	0.048	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
1676232104.601834	5.122	0.053	0.048	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
1676232104.8021407	5.122	0.05	0.048	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
1676232105.0024335	5.122	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
1676232105.2027237	5.122	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.15	38.0	44.0	56.0	39.0	
1676232105.4030116	5.122	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
1676232105.6033149	5.122	0.1	0.0	0.0	0.0	0.0	0.05	1.0	0.0	38.0	45.0	56.0	38.0	
1676232105.803614	5.149	0.14300000000000002	0.0	0.0	0.0	0.0	0.05	1.0	0.0	38.0	44.0	56.0	38.0	
1676232106.0039196	5.149	0.055999999999999994	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
1676232106.2042146	5.149	0.14300000000000002	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	56.0	38.0	
