time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1676254068.0742736	11.886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	67.0	69.0	58.0	
1676254068.2745597	11.886	0.158	0.14300000000000002	0.0	0.0	0.9	0.9470000000000001	0.95	1.0	62.0	68.0	70.0	58.0	
1676254068.4748402	11.886	0.21100000000000002	0.1	0.095	0.0	0.95	0.95	0.9470000000000001	1.0	62.0	69.0	70.0	58.0	
1676254068.6751263	11.886	0.33299999999999996	0.05	0.053	0.1	0.889	0.85	0.905	1.0	61.0	68.0	69.0	58.0	
1676254068.8754148	11.325	0.222	0.095	0.048	0.0	0.9	0.95	0.9470000000000001	0.95	62.0	69.0	70.0	58.0	
1676254069.075706	11.325	0.05	0.0	0.0	0.048	0.9	1.0	0.905	0.857	62.0	69.0	69.0	58.0	
1676254069.2759864	11.325	0.21100000000000002	0.0	0.0	0.053	0.95	1.0	0.95	0.95	62.0	69.0	70.0	58.0	
1676254069.4762826	11.325	0.2	0.105	0.053	0.05	0.857	1.0	0.85	0.857	62.0	69.0	70.0	58.0	
1676254069.6765676	11.325	0.21100000000000002	0.05	0.0	0.048	0.95	0.9520000000000001	0.9520000000000001	0.95	62.0	69.0	70.0	58.0	
1676254069.876874	11.325	0.05	0.0	0.0	0.0	0.9470000000000001	1.0	0.95	0.9470000000000001	63.0	70.0	70.0	59.0	
1676254070.0770888	11.722	0.055999999999999994	0.0	0.0	0.0	0.905	1.0	0.905	0.905	62.0	70.0	70.0	58.0	
1676254070.2773805	11.722	0.136	0.0	0.1	0.0	0.9	0.9470000000000001	1.0	0.905	63.0	69.0	70.0	59.0	
1676254070.4777715	11.722	0.055999999999999994	0.1	0.053	0.053	0.9	1.0	0.857	0.895	63.0	70.0	70.0	58.0	
1676254070.678232	11.722	0.316	0.0	0.0	0.0	0.95	1.0	0.95	0.95	63.0	70.0	70.0	59.0	
1676254070.878807	11.515	0.2	0.053	0.0	0.105	0.85	1.0	0.9	0.85	62.0	70.0	70.0	58.0	
1676254071.07941	11.515	0.23800000000000002	0.0	0.05	0.05	0.95	1.0	0.95	0.95	64.0	70.0	71.0	59.0	
1676254071.2798963	11.515	0.17600000000000002	0.053	0.095	0.0	0.9	0.9520000000000001	0.85	0.895	63.0	70.0	70.0	59.0	
1676254071.4803824	11.515	0.25	0.05	0.158	0.095	0.95	1.0	1.0	0.9520000000000001	62.0	70.0	71.0	59.0	
1676254071.680856	11.515	0.111	0.0	0.111	0.048	0.9470000000000001	1.0	0.95	0.95	63.0	70.0	70.0	58.0	
