time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1676265040.1433337	5.825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	43.0	43.0	39.0	
1676265040.3436232	5.825	0.1	0.0	0.0	0.0	1.0	0.0	0.05	0.05	55.0	44.0	43.0	39.0	
1676265040.543901	5.825	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.14300000000000002	55.0	44.0	43.0	39.0	
1676265040.7441716	5.825	0.0	0.0	0.0	0.0	1.0	0.0	0.05	0.0	55.0	43.0	43.0	39.0	
1676265040.944465	5.859	0.095	0.048	0.0	0.0	1.0	0.05	0.0	0.0	55.0	44.0	43.0	39.0	
1676265041.1447587	5.859	0.0	0.048	0.0	0.0	1.0	0.053	0.0	0.0	55.0	44.0	43.0	39.0	
1676265041.3450544	5.859	0.095	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55.0	44.0	43.0	39.0	
1676265041.5453217	5.859	0.0	0.0	0.0	0.0	1.0	0.05	0.0	0.0	55.0	44.0	43.0	39.0	
1676265041.745584	5.859	0.048	0.0	0.0	0.0	1.0	0.0	0.0	0.091	55.0	44.0	43.0	39.0	
1676265041.9458532	5.714	0.053	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55.0	44.0	43.0	39.0	
1676265042.1461456	5.714	0.048	0.0	0.0	0.0	1.0	0.0	0.048	0.105	55.0	44.0	43.0	39.0	
1676265042.3464353	5.714	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55.0	44.0	43.0	39.0	
1676265042.5467184	5.714	0.095	0.0	0.0	0.0	1.0	0.105	0.048	0.048	55.0	44.0	43.0	39.0	
1676265042.7469869	5.714	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55.0	44.0	43.0	39.0	
1676265042.94726	5.813	0.1	0.0	0.0	0.0	1.0	0.05	0.048	0.0	55.0	44.0	43.0	39.0	
1676265043.147526	5.813	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55.0	44.0	43.0	39.0	
1676265043.347808	5.813	0.048	0.0	0.0	0.0	1.0	0.0	0.048	0.048	55.0	44.0	43.0	39.0	
1676265043.548092	5.813	0.05	0.0	0.0	0.0	1.0	0.048	0.0	0.1	55.0	44.0	43.0	40.0	
1676265043.7483575	5.813	0.05	0.0	0.0	0.0	1.0	0.0	0.048	0.0	55.0	44.0	43.0	39.0	
1676265043.9486299	5.741	0.1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55.0	44.0	43.0	39.0	
1676265044.1489131	5.741	0.0	0.0	0.0	0.0	1.0	0.14300000000000002	0.048	0.0	55.0	44.0	43.0	39.0	
1676265044.3492038	5.741	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55.0	44.0	43.0	40.0	
1676265044.5494685	5.741	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55.0	44.0	43.0	39.0	
1676265044.749731	5.741	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55.0	44.0	43.0	40.0	
1676265044.9499915	5.725	0.095	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55.0	44.0	43.0	40.0	
1676265045.1502724	5.725	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.105	55.0	44.0	43.0	40.0	
1676265045.3505588	5.725	0.05	0.0	0.048	0.0	1.0	0.0	0.0	0.0	55.0	44.0	43.0	40.0	
